X,Y
1692,1903
1691,1903
1690,1903
1701,1903
1236,1729
1231,1729
1697,0917
1696,1903
1694,1903
2586,0060
3204,1722
3404,0058
3408,0058
1373,0070
2588,0060
3414,0058
3411,0058
3400,0058
3398,0058
3406,0058
1718,0994
3412,0058
3394,0058
3410,0058
3407,0058
3413,0058
3393,0058
3405,0058
3608,0160
1571,1706
2894,0166
3396,0058
2110,0707
3045,0373
1941,0852
1461,0938
1700,1903
3419,1663
3119,1690
3169,1690
1579,1509
1088,0189
2895,0166
1440,1735
2140,1894
2058,0845
1893,1895
2743,0448
1506,0275
3572,1876
3494,0252
3496,0252
1505,0275
2676,1676
2451,0737
3541,1884
2742,0448
1244,1892
2650,0928
2591,1669
2943,1640
1474,0983
1515,1507
1949,0889
2437,0599
3053,0809
2074,0716
2684,1676
2685,1676
1467,0678
3145,1924
1828,0664
1394,1904
2448,0737
2452,0737
3395,0058
3463,0703
1634,1699
1362,0070
3043,1884
2407,1900
1014,0342
2426,1900
1568,1706
1009,0687
3178,0059
2449,0737
2964,1714
2700,1708
1662,1859
1482,0294
1492,0177
3427,1663
1522,1876
1658,1859
1659,1859
2257,0200
2772,0200
3441,1894
2267,0383
1299,0299
2806,1842
3523,0074
1751,0779
2935,0310
0392300000006160,0392
3372,0214
1395,0301
2724,1908
2781,0717
1883,0479
1432,0689
3158,0420
2737,0448
1215,0756
2060,0845
1619,0865
2205,1955
1196,0197
1974,0988
2827,0860
3335,1581
1580,1509
2777,0717
3110,1701
2454,0737
2974,1714
3596,0826
3473,1651
1864,1734
2825,0355
1400,0340
2237,0313
1501,0275
1844,0230
2800,0766
2596,0867
2701,1708
3081,0599
1346,0232
2219,1904
2934,0310
3138,0755
2439,0757
1656,1859
2785,0717
2784,0717
1672,0888
1322,1709
2358,0951
3249,0828
2970,1714
3197,0786
1240,0047
1076,0718
2103,0962
3065,0965
2083,1702
2097,0226
1405,0851
1913,0971
2245,0082
1855,0986
2291,0241
2291,1945
3193,1695
2767,0228
3177,0059
1080,0484
1433,0689
2876,0241
2876,1945
2128,0056
2136,0820
1574,1509
2778,0717
3602,0080
2283,0957
1237,0148
2944,1640
2573,0233
3580,0273
2991,0274
1297,0299
1328,0415
1478,0294
3113,1701
1917,1641
1255,0654
2564,0296
1535,1876
3246,0222
2865,0246
1343,0262
1111,0213
2982,0302
2660,1783
3539,0451
1607,0394
1605,0394
1613,0394
1604,0394
1094,1740
3524,1740
2572,0358
2270,0383
1127,1771
1878,0479
1863,1734
2960,1714
3339,1581
1142,1926
3142,0983
1708,0537
3003,1696
3000,1696
1412,1774
1920,1641
1512,0498
2003,1525
2949,1640
3337,1581
1709,0537
2947,1640
3542,1525
1537,0160
3573,1876
1096,1740
2664,1783
1475,0983
3574,1876
1621,1916
1128,0715
2655,1783
2673,0569
3340,1581
3049,0373
2805,1842
1577,1509
1093,0308
3606,0267
2315,1900
3564,0200
1018,0018
3462,0703
2348,0361
1300,0299
3132,1705
2631,0297
3214,0236
1338,0262
1654,1859
1655,1859
1057,0203
1585,1509
3247,0222
3188,1695
1282,0171
0392300000008100,0392
2248,0200
2248,0285
2606,0200
2606,0285
3625,0620
3161,1690
3104,1690
2779,0717
3085,0599
1491,0177
1519,1942
2263,0025
2898,0166
1264,0654
2770,0228
2789,0432
1039,0163
2379,1924
3097,0677
3080,0599
3383,0214
2508,0051
3175,0059
2347,0158
3465,0703
1453,1684
3011,1731
1539,0160
3369,0281
2558,0281
3270,1891
1112,0213
1488,1911
1136,0715
1711,0168
1235,1729
2117,0056
2509,0051
3627,1927
3449,0024
1034,1507
1217,0756
2447,0737
2029,0140
